Championnat de Lituanie. Première ligue. Femmes  (1) — 1 match(s)
Championnat de Nicaragua  (1) — 1 match(s)
Championnat de Pérou. Femmes  (1) — 1 match(s)
Championnat de Roumanie. Femmes  (1) — 1 match(s)
Championnat de Serbie. Super Ligue. Statistiques du tour  (1) — 1 match(s)
Championnat de Slovaquie. Corgon Liga. Statistiques du tour  (1) — 1 match(s)
Championnat slovène. Première Ligue. Statistiques du tour  (1) — 1 match(s)
Championnat de Taïwan. Première Ligue  (1) — 1 match(s)
Championnat des Émirats arabes unis U19  (1) — 1 match(s)
Championnat des îles Féroé. Division 1  (1) — 1 match(s)
Championnat du Bangladesh  (1) — 1 match(s)
Championnat du Costa Rica. Femmes  (1) — 1 match(s)
Championnat du Kazakhstan. Division 1  (1) — 1 match(s)
Championnat du Kirghizistan. Ligue supérieure  (1) — 1 match(s)
Championnat du Luxembourg. Femmes  (1) — 1 match(s)
Championnat du Malawi. TNM Super League  (1) — 1 match(s)
Championnat du Paraguay. División Intermedia  (1) — 1 match(s)
Championnat du Paraguay. Ligue de réserve  (1) — 1 match(s)
Championnat du Salvador. Femmes  (1) — 1 match(s)
Championnat du Salvador. Reserve Division  (1) — 1 match(s)
Championnat du Venezuela. Segunda División  (1) — 1 match(s)
Coupe Simon Bolivar  (1) — 1 match(s)
Guatemala. Ligue Nationale  (1) — 1 match(s)
Guatemala. Primera Division de Ascenso  (1) — 1 match(s)
Islande. 1er Division  (1) — 1 match(s)
Islande. Úrvalsdeild. Femmes  (1) — 1 match(s)
Lettonie. Virsliga. Statistiques du tour  (1) — 1 match(s)
Malaisie. FA Cup  (1) — 1 match(s)
Monténégro. Prva Crnogorska League  (1) — 1 match(s)
Ouganda. Première Ligue  (1) — 1 match(s)
Accéder à la version complète du site Web — 0 match(s)
